"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"925462488623312897","https://twitter.com/DataBzh/status/925462488623312897","[Archive] #Datasnack #19 — La Fête de la musique 2016 en Bretagne https://t.co/LQnErCEuQ9","2017-10-31 20:40 +0000","421.0","3.0","0.007125890736342043","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925405805796646913","https://twitter.com/DataBzh/status/925405805796646913","La #data, un carburant pour la créativité https://t.co/gT88r3lwFg","2017-10-31 16:55 +0000","443.0","6.0","0.013544018058690745","1.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925363010260144129","https://twitter.com/DataBzh/status/925363010260144129","Internet of things definitions: A handy guide to essential #IoT terms https://t.co/47vzuwNJ9S via @networkworld","2017-10-31 14:05 +0000","482.0","3.0","0.006224066390041493","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925313918414843904","https://twitter.com/DataBzh/status/925313918414843904","“Cybersécurité et #BigData : un duo gagnant” by @Invenis_co https://t.co/WnanheW7cW","2017-10-31 10:50 +0000","553.0","5.0","0.009041591320072333","0.0","0.0","2.0","2.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925268623962320896","https://twitter.com/DataBzh/status/925268623962320896","Transformation numérique : comment l’économie de la donnée impacte les architectures informatiques https://t.co/nKra9ipYvV","2017-10-31 07:50 +0000","781.0","9.0","0.011523687580025609","2.0","0.0","2.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"925129420901412864","https://twitter.com/DataBzh/status/925129420901412864","[Archive] Premiers pas en text-mining avec R – Partie 2 https://t.co/VBhjxBKYS7 #blog","2017-10-30 22:36 +0000","514.0","7.0","0.013618677042801557","0.0","0.0","2.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924796953308925952","https://twitter.com/DataBzh/status/924796953308925952","[Archive] #Datasnack #26 — Statistiques de logement à Saint Malo, 1968-2013 https://t.co/Q4RFzsvCHf","2017-10-30 00:35 +0000","419.0","2.0","0.00477326968973747","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924463931992797184","https://twitter.com/DataBzh/status/924463931992797184","[Archive] Rendez-vous le 2 Mars pour ""Panama Papers : Investigation et Big Data"" https://t.co/f6zHEm4gdA #actu","2017-10-29 02:32 +0000","581.0","3.0","0.0051635111876075735","0.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924168947880087552","https://twitter.com/DataBzh/status/924168947880087552","#Data : un site pour trouver son coin de campagne idéal ou l'endroit avec le plus de bistrots https://t.co/1mnmzyWsU3","2017-10-28 07:00 +0000","543.0","8.0","0.014732965009208104","0.0","0.0","1.0","0.0","7.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"924130907782549505","https://twitter.com/DataBzh/status/924130907782549505","[Archive] #Datasnack #50 — Visites de DataBzh en 2016 https://t.co/Gl1yKIPrfZ","2017-10-28 04:29 +0000","452.0","3.0","0.00663716814159292","0.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
