"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"804029497783844864","https://twitter.com/DataBzh/status/804029497783844864","#Datasnack #35 — Toilettes publiques en Bretagne https://t.co/86CLsnMrsd","2016-11-30 18:29 +0000","199.0","1.0","0.005025125628140704","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"804009701335846916","https://twitter.com/DataBzh/status/804009701335846916","DataChats: An interview with Garrett Grolemund : https://t.co/CIfXxfUtI3 via @DataCamp","2016-11-30 17:10 +0000","286.0","2.0","0.006993006993006993","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803959321994338304","https://twitter.com/DataBzh/status/803959321994338304","Free online course: Analyzing #bigdata with Microsoft #RStats Server : https://t.co/kcI3h4fX5I via @rbloggers","2016-11-30 13:50 +0000","269.0","1.0","0.0037174721189591076","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803915271572484096","https://twitter.com/DataBzh/status/803915271572484096","Coût de l’emploi : comment le calculer facilement grâce au #BigData : https://t.co/R2zwDiKMZE","2016-11-30 10:55 +0000","509.0","8.0","0.015717092337917484","3.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803871326570184704","https://twitter.com/DataBzh/status/803871326570184704","Les entreprises françaises sur la bonne voie pour être #datadriven, mais un changement de paradigme s’impose : https://t.co/bLrlaOBVi0","2016-11-30 08:00 +0000","366.0","3.0","0.00819672131147541","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803859885825937408","https://twitter.com/DataBzh/status/803859885825937408","Mars : comment la NASA utilise le #BigData pour préparer la mission : https://t.co/drgGtoomUV","2016-11-30 07:15 +0000","199.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803853588808265728","https://twitter.com/DataBzh/status/803853588808265728","#DataScience — What is #MachineLearning ? https://t.co/svT9xvq1HB","2016-11-30 06:50 +0000","257.0","2.0","0.007782101167315175","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803697195325227008","https://twitter.com/DataBzh/status/803697195325227008","#Datasnack #25 — Établissements publics et privés impliqués dans la recherche et développement https://t.co/A6obrOsvIw","2016-11-29 20:28 +0000","258.0","1.0","0.003875968992248062","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803647313814155264","https://twitter.com/DataBzh/status/803647313814155264","RT @kamatris10: #Python — 3 livres à lire en octobre https://t.co/q5h0xHiUPO","2016-11-29 17:10 +0000","195.0","1.0","0.005128205128205128","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"803599622413418496","https://twitter.com/DataBzh/status/803599622413418496","Avec Catalogue, @transdev veut unifier l’#opendata du #transport mondial, par @matthdel : https://t.co/yRzwa9JGaB via @journaldunet","2016-11-29 14:00 +0000","537.0","10.0","0.0186219739292365","2.0","0.0","1.0","1.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
