"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"73";"Guipavas";"29075";"29";"53";13966;4415;48,4274749278578;-4,39343499242837
"74";"Guipronvel";"29076";"29";"53";787;846;48,4934860834428;-4,57071802058209
"75";"Guissény";"29077";"29";"53";2024;2549;48,6248742485728;-4,41055072730838
"76";"Hanvec";"29078";"29";"53";1983;5951;48,3281754405278;-4,14994183046826
"77";"Henvic";"29079";"29";"53";1309;1002;48,633739405491;-3,92956831635558
"78";"Hôpital-Camfrout";"29080";"29";"53";2224;1363;48,3222704540334;-4,24639720421899
"79";"Huelgoat";"29081";"29";"53";1542;1493;48,3666636411238;-3,75820010825345
"80";"Île-de-Batz";"29082";"29";"53";494;308;48,7438535864424;-4,01146261648271
"81";"Île-de-Sein";"29083";"29";"53";216;61;48,0381793293654;-4,85396016176451
"82";"Île-Molène";"29084";"29";"53";169;125;48,3985614453319;-4,95496716601502
"83";"Île-Tudy";"29085";"29";"53";742;129;47,8505357580963;-4,16394113181206
"84";"Irvillac";"29086";"29";"53";1406;2971;48,3657733859201;-4,19980256597772
"85";"Juch";"29087";"29";"53";720;1428;48,0577679983098;-4,26624738736653
"86";"Kergloff";"29089";"29";"53";937;2500;48,2792968842706;-3,64017278501665
"87";"Kerlaz";"29090";"29";"53";830;1172;48,0895563265639;-4,26571739408309
"88";"Kerlouan";"29091";"29";"53";2254;1854;48,6479889052889;-4,38571584795803
"89";"Rosporden";"29241";"29";"53";7507;5750;47,9551387805972;-3,80832735565537
"90";"Kernilis";"29093";"29";"53";1434;1017;48,5738060851706;-4,41792188891224
"91";"Kernouës";"29094";"29";"53";730;775;48,5955034900773;-4,34299902461193
"92";"Kersaint-Plabennec";"29095";"29";"53";1357;1197;48,4862694880558;-4,36351104859124
"93";"Lampaul-Guimiliau";"29097";"29";"53";2067;1760;48,4858528187409;-4,04166733668445
"94";"Lampaul-Plouarzel";"29098";"29";"53";2080;407;48,4528423587322;-4,76681781137585
"95";"Lampaul-Ploudalmézeau";"29099";"29";"53";810;627;48,5572053159942;-4,65095719537671
"96";"Lanarvily";"29100";"29";"53";435;587;48,5604193390105;-4,38517267839943
