"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"892004437673349120","https://twitter.com/DataBzh/status/892004437673349120","RT @HATVP Les 1ères déclarations d’intérêts du @gouvernementFR sont en ligne en #opendata https://t.co/k2Rq0uSJca https://t.co/qvzPmMt5PD","2017-07-31 12:50 +0000","499.0","4.0","0.008016032064128256","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891964182572269568","https://twitter.com/DataBzh/status/891964182572269568","Transition énergétique : l’#opendata, un outil bénéfique pour les collectivités https://t.co/G0vf67NlJn","2017-07-31 10:10 +0000","297.0","4.0","0.013468013468013467","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891849195258343425","https://twitter.com/DataBzh/status/891849195258343425","[Archive] Noms des entreprises en Bretagne administrative - Partie 1 https://t.co/vosmSTzGDc #territoire","2017-07-31 02:33 +0000","223.0","5.0","0.02242152466367713","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891516899422605313","https://twitter.com/DataBzh/status/891516899422605313","[Archive] Data Bzh sur Twitter — Avril 2016 https://t.co/FQLMmmhj0P #opendata","2017-07-30 04:32 +0000","271.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891279675439411201","https://twitter.com/DataBzh/status/891279675439411201","RT @ccoulombeau Avec l’aide de @sl_lab, l’infographie “Les licences #opendata pour les nuls”. https://t.co/vAMlyJkXIS","2017-07-29 12:50 +0000","1073.0","22.0","0.02050326188257223","6.0","1.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891236967178010624","https://twitter.com/DataBzh/status/891236967178010624","Les déclarations des responsables publics désormais accessibles en #opendata https://t.co/AwNr3pIBiM","2017-07-29 10:00 +0000","325.0","3.0","0.009230769230769232","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891191632758022145","https://twitter.com/DataBzh/status/891191632758022145","RT @SkwazelJeanLuc #bigdata pour les nuls... 25 termes à connaître ! https://t.co/0lnrD9WkVK https://t.co/5cHjPZevsK","2017-07-29 07:00 +0000","302.0","4.0","0.013245033112582781","0.0","0.0","0.0","1.0","1.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"891183636741066752","https://twitter.com/DataBzh/status/891183636741066752","[Archive] Les Transmusicales de Rennes en data https://t.co/eM9NhN4KTG #territoire","2017-07-29 06:28 +0000","1169.0","13.0","0.011120615911035072","4.0","0.0","1.0","0.0","8.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890963836236435456","https://twitter.com/DataBzh/status/890963836236435456","Intelligence collective et #BigData : deux sources de savoir interconnectées https://t.co/6vArqHQsuF","2017-07-28 15:55 +0000","400.0","4.0","0.01","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890951284622331904","https://twitter.com/DataBzh/status/890951284622331904","Les données de mobilité bientôt centralisées par l’État https://t.co/fIG6Z7BP80 via @Lagazettefr","2017-07-28 15:05 +0000","377.0","5.0","0.013262599469496022","1.0","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890936163229466624","https://twitter.com/DataBzh/status/890936163229466624","Le #BigData, catalyseur de la transformation numérique des entreprises centrée sur l’expérience client https://t.co/ij2K1cXtTx","2017-07-28 14:05 +0000","342.0","3.0","0.008771929824561403","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890850769691430912","https://twitter.com/DataBzh/status/890850769691430912","[Archive] Rennes Data Club — Rejoignez nous sur Meetup ! https://t.co/4US9R8LdbK #actu","2017-07-28 08:25 +0000","383.0","2.0","0.005221932114882507","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890832975247663104","https://twitter.com/DataBzh/status/890832975247663104","#MachineLearning : tout le monde en parle mais à quoi ça sert vraiment ? https://t.co/I1Z6zyK0Dg via @AndroidPIT_FR","2017-07-28 07:15 +0000","294.0","1.0","0.003401360544217687","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"890601483284078593","https://twitter.com/DataBzh/status/890601483284078593","Learning analytics, où en est-on aujourd'hui ?  https://t.co/4mKuUQAt3e","2017-07-27 15:55 +0000","285.0","2.0","0.007017543859649123","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
