"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"298";"Saint-Péver";"22322";"22";"53";404;1309;48,4826289713975;-3,08942907401475
"299";"Saint-Pôtan";"22323";"22";"53";801;2026;48,5578475312281;-2,2915809431105
"300";"Saint-Quay-Perros";"22324";"22";"53";1364;476;48,7815657339737;-3,4482283655566
"301";"Saint-Quay-Portrieux";"22325";"22";"53";2995;441;48,6566204098248;-2,83800292068071
"302";"Saint-Rieul";"22326";"22";"53";535;645;48,443878830255;-2,41440847137113
"303";"Saint-Samson-sur-Rance";"22327";"22";"53";1543;612;48,4934400036968;-2,01236134226532
"304";"Saint-Servais";"22328";"22";"53";419;2836;48,3882426529623;-3,37910821501395
"305";"Saint-Thélo";"22330";"22";"53";417;1467;48,245949355991;-2,84657344619708
"306";"Sainte-Tréphine";"22331";"22";"53";208;1266;48,2652345242833;-3,16796876494824
"307";"Saint-Trimoël";"22332";"22";"53";477;862;48,3977649862059;-2,54379735418426
"308";"Saint-Vran";"22333";"22";"53";758;2838;48,2424232463215;-2,45005065840192
"309";"Saint-Igeaux";"22334";"22";"53";137;1293;48,2830597543996;-3,11876075089476
"310";"Senven-Léhart";"22335";"22";"53";233;1273;48,43239193427;-3,06098520600486
"311";"Sévignac";"22337";"22";"53";1129;4403;48,333099243029;-2,31561433451042
"312";"Squiffiec";"22338";"22";"53";802;1082;48,6355834502192;-3,16100019185183
"313";"Taden";"22339";"22";"53";2288;2026;48,4898124467716;-2,05664010993161
"314";"Tonquédec";"22340";"22";"53";1178;1853;48,6831832569432;-3,39253378744277
"315";"Tramain";"22341";"22";"53";670;941;48,3987922607816;-2,38899340024289
"316";"Trébédan";"22342";"22";"53";417;1118;48,4088230861542;-2,16493888657472
"317";"Trébeurden";"22343";"22";"53";3627;1395;48,7743121120418;-3,56975200571617
"318";"Trébrivan";"22344";"22";"53";700;2304;48,3181844183303;-3,48055771456107
"319";"Trébry";"22345";"22";"53";841;2562;48,3500888123628;-2,56329388825528
"320";"Trédaniel";"22346";"22";"53";968;1602;48,3506690579314;-2,6055385614626
"321";"Trédarzec";"22347";"22";"53";1111;1159;48,7918218716064;-3,20327754265634
"322";"Trédias";"22348";"22";"53";502;1129;48,3685207910856;-2,230487964969
"323";"Trédrez-Locquémeau";"22349";"22";"53";1432;1074;48,7092862082466;-3,56457374510355
"324";"Tréduder";"22350";"22";"53";198;481;48,654952783862;-3,56717650824474
"325";"Treffrin";"22351";"22";"53";581;750;48,2995512961839;-3,52835220494365
