"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"126";"Guipry-Messac";"35176";"35";"53";6735;9230;47,8252677108158;-1,82750235712068
"127";"Hermitage";"35131";"35";"53";4042;686;48,124043878795;-1,81582994289211
"128";"Hirel";"35132";"35";"53";1350;995;48,5964313625901;-1,81982962936329
"129";"Iffendic";"35133";"35";"53";4454;7500;48,1225263975344;-2,03272113194939
"130";"Iffs";"35134";"35";"53";272;451;48,294649211393;-1,86621959910476
"131";"Irodouër";"35135";"35";"53";2169;2364;48,245302123335;-1,95158059508981
"132";"Janzé";"35136";"35";"53";8232;4163;47,9487603109819;-1,49306238888208
"133";"Javené";"35137";"35";"53";2003;1851;48,3208032753043;-1,21624963081011
"134";"Laignelet";"35138";"35";"53";1135;1509;48,3811816894868;-1,15744705274305
"135";"Laillé";"35139";"35";"53";4951;3203;47,9636838785321;-1,70910717413484
"136";"Lalleu";"35140";"35";"53";601;1550;47,8552752879565;-1,51361972063744
"137";"Landavran";"35141";"35";"53";683;518;48,1630434999596;-1,28644714105627
"138";"Landéan";"35142";"35";"53";1267;2828;48,4144683816963;-1,15275493736912
"139";"Landujan";"35143";"35";"53";970;1442;48,2493129645864;-2,00774755448739
"140";"Langan";"35144";"35";"53";922;777;48,2373609341743;-1,84807078940233
"141";"Langon";"35145";"35";"53";1459;3652;47,735411640979;-1,87749259338971
"142";"Langouet";"35146";"35";"53";596;712;48,2536291133341;-1,81408201234569
"143";"Lanhélin";"35147";"35";"53";988;649;48,4554553604257;-1,830249423861
"144";"Lanrigan";"35148";"35";"53";149;404;48,3902009967462;-1,688115135485
"145";"Lassy";"35149";"35";"53";1504;985;47,9701324803247;-1,8685932608991
"146";"Lécousse";"35150";"35";"53";3058;1111;48,3574408821666;-1,21693421702758
"147";"Lieuron";"35151";"35";"53";783;1690;47,8521287312111;-1,93562143856043
"148";"Liffré";"35152";"35";"53";7164;6654;48,2100053304835;-1,48258259145353
"149";"Lillemer";"35153";"35";"53";324;381;48,5687576348886;-1,8573154637459
