"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"858713834520969218","https://twitter.com/DataBzh/status/858713834520969218","RT @spouyllau Voyant Tools un outil en ligne pour créer des statistiques et des #dataviz pour les études littéraires https://t.co/k3g7iH9b5a","2017-04-30 16:05 +0000","937.0","21.0","0.022411953041622197","4.0","0.0","4.0","1.0","9.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858666007774318593","https://twitter.com/DataBzh/status/858666007774318593","RT @opendata_fr: L #opendata des décisions des cours d’appel et tribunaux n’est pas pour demain - https://t.co/tZnU8UlQa2","2017-04-30 12:55 +0000","385.0","4.0","0.01038961038961039","1.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858620725858631682","https://twitter.com/DataBzh/status/858620725858631682","RT @antonydbzh: L’élue de #Brest d’opposition @JulieLeGoic publie le budget de la ville en #opendata sur #mastodon https://t.co/RpWFtkhi4b","2017-04-30 09:55 +0000","450.0","7.0","0.015555555555555555","1.0","0.0","2.0","0.0","2.0","1.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858579184070922240","https://twitter.com/DataBzh/status/858579184070922240","#OpenData : la SNCF ouvre 114 jeux de données https://t.co/GQIdnEhVdX","2017-04-30 07:10 +0000","2347.0","73.0","0.03110353642948445","16.0","1.0","13.0","2.0","36.0","1.0","3.0","0.0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858569123604856832","https://twitter.com/DataBzh/status/858569123604856832","[Archive] Retour sur la Digital Tech Conférence 2016 https://t.co/1IHL2MiJ8l #evenement","2017-04-30 06:30 +0000","337.0","2.0","0.005934718100890208","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858347673862230016","https://twitter.com/DataBzh/status/858347673862230016","#DataViz — ""Why Your Brain Needs Data Visualization"" : https://t.co/n3ClAnn4vT","2017-04-29 15:50 +0000","285.0","3.0","0.010526315789473684","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858303630637707264","https://twitter.com/DataBzh/status/858303630637707264","Comment @WatsonAnalytics améliore la compréhension des données marketing https://t.co/4P46UwLuBd","2017-04-29 12:55 +0000","309.0","3.0","0.009708737864077669","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858286010081452033","https://twitter.com/DataBzh/status/858286010081452033","How #bigdata delivers #datadriven stories : https://t.co/6btdS2xual","2017-04-29 11:45 +0000","301.0","6.0","0.019933554817275746","1.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858258322205683712","https://twitter.com/DataBzh/status/858258322205683712","Les 12 secteurs d'activité que le #machinelearning va faire exploser, par @lelia2m : https://t.co/WNsEJt98ze via @journaldunet","2017-04-29 09:55 +0000","256.0","3.0","0.01171875","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"858236944651882496","https://twitter.com/DataBzh/status/858236944651882496","#DataScience — The Ultimate Guide to Web Data Extraction https://t.co/Spv6Ywpicz via @promptcloud","2017-04-29 08:30 +0000","449.0","6.0","0.013363028953229399","2.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
