"Identifiant du Tweet","Permalien du Tweet","Texte du Tweet","heure","impressions","engagements","taux d’engagement","Retweets","réponses","J'aime","clics sur le profil de l'utilisateur","clics sur l'URL","clics sur le hashtag","ouvertures des détails","clics sur le permalien","ouvertures d'application","installations de l'application","abonnements ","envoyer le Tweet par email","composer le numéro","vues du média","engagements avec le média","impressions sponsorisé","engagements sponsorisé","taux d’engagement sponsorisé","Retweets sponsorisé","réponses sponsorisé","J'aime sponsorisé","clics sur le profil de l'utilisateur sponsorisé","clics sur l'URL sponsorisé","clics sur le hashtag sponsorisé","ouvertures des détails sponsorisé","clics sur le permalien sponsorisé","ouvertures d'application sponsorisé","installations de l'application sponsorisé","abonnements  sponsorisé","envoyer le Tweet par email sponsorisé","composer le numéro sponsorisé","vues du média sponsorisé","engagements avec le média sponsorisé"
"880862070132142080","https://twitter.com/DataBzh/status/880862070132142080","[Archive] #Datasnack #43 — Les journaux du lycée en Bretagne https://t.co/7cz4tQO5VQ","2017-06-30 18:54 +0000","350.0","12.0","0.03428571428571429","0.0","0.0","1.0","3.0","2.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880731432448139264","https://twitter.com/DataBzh/status/880731432448139264","#DataScience for Internet of Things (#IoT): Ten Differences From Traditional Data Science https://t.co/uMWD2LpXd3","2017-06-30 10:15 +0000","2521.0","20.0","0.007933359777865925","14.0","0.0","5.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880679827250044929","https://twitter.com/DataBzh/status/880679827250044929","RT @ArnaudDelanoy: #infographie : Où en êtes-vous avec le #data #Marketing ?  https://t.co/P57PGeDMWN https://t.co/bQiA4uugT3","2017-06-30 06:50 +0000","350.0","7.0","0.02","0.0","0.0","1.0","0.0","6.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880528829592326147","https://twitter.com/DataBzh/status/880528829592326147","[Archive] Retour sur l'Apéro StoryCode de Rennes https://t.co/Q5SNLSXeij #actu","2017-06-29 20:50 +0000","311.0","1.0","0.003215434083601286","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880411838126731264","https://twitter.com/DataBzh/status/880411838126731264","Big Data analysis and anonymisation techniques under the EU General Data Protection Regulation https://t.co/UqDfdfcvc7","2017-06-29 13:05 +0000","712.0","3.0","0.004213483146067416","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880362733320974340","https://twitter.com/DataBzh/status/880362733320974340","RT @MegaDataMama: #Data #visualization: Showing isn’t always telling https://t.co/bN3jE0S2rm #DataViz #bigData","2017-06-29 09:50 +0000","706.0","13.0","0.018413597733711047","4.0","0.0","1.0","2.0","3.0","1.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880321218410422276","https://twitter.com/DataBzh/status/880321218410422276","RT @BEconomique: Rennes : Doptim et 3 autres start-up lancent le Breizh data club #Data #Bretagne  https://t.co/l0zDZw8FGu","2017-06-29 07:05 +0000","452.0","15.0","0.033185840707964605","1.0","0.0","1.0","3.0","9.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"880196626542989312","https://twitter.com/DataBzh/status/880196626542989312","[Archive] Étude de la carte scolaire rennaise https://t.co/H26MkjhlRo #territoire","2017-06-28 22:50 +0000","284.0","2.0","0.007042253521126761","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"879999085780094978","https://twitter.com/DataBzh/status/879999085780094978","#DataViz — La visualisation de données transforme le #bigdata https://t.co/27qEEwdlZx","2017-06-28 09:45 +0000","433.0","11.0","0.025404157043879907","1.0","0.0","2.0","0.0","6.0","2.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"879864361225007107","https://twitter.com/DataBzh/status/879864361225007107","[Archive] Un mois à #Rennes — Janvier 2016 https://t.co/djOD81TcTT #socialmedia","2017-06-28 00:49 +0000","299.0","5.0","0.016722408026755852","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
